#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C ),Ch: 2 - RH   (%),Dew Point   (°C ),Host Connected,End of File
324,10/08/2022 07:08:38,-3.26,92.01,-4.38,,
325,10/08/2022 07:11:38,-3.23,93.03,-4.20,,
326,10/08/2022 07:14:38,-2.64,94.27,-3.44,,
327,10/08/2022 07:17:38,-2.21,91.92,-3.35,,
328,10/08/2022 07:20:38,-2.08,90.77,-3.39,,
329,10/08/2022 07:23:38,-1.74,90.76,-3.06,,
330,10/08/2022 07:26:38,-1.27,89.25,-2.81,,
331,10/08/2022 07:29:38,-0.82,88.75,-2.45,,
332,10/08/2022 07:32:38,-0.09,86.13,-2.13,,
333,10/08/2022 07:35:38,0.02,79.99,-3.02,,
334,10/08/2022 07:38:38,-0.02,78.99,-3.23,,
335,10/08/2022 07:41:38,0.01,77.73,-3.41,,
336,10/08/2022 07:44:38,0.22,77.55,-3.24,,
337,10/08/2022 07:47:38,0.55,77.07,-3.00,,
338,10/08/2022 07:50:38,0.63,77.92,-2.78,,
339,10/08/2022 07:53:38,0.75,78.50,-2.56,,
340,10/08/2022 07:56:38,0.44,78.36,-2.89,,
341,10/08/2022 07:59:38,0.04,80.00,-3.00,,
342,10/08/2022 08:02:38,0.40,81.62,-2.37,,
343,10/08/2022 08:05:38,0.90,80.83,-2.02,,
344,10/08/2022 08:08:38,1.82,79.16,-1.40,,
345,10/08/2022 08:11:38,2.35,77.44,-1.19,,
346,10/08/2022 08:14:38,2.25,75.96,-1.55,,
347,10/08/2022 08:17:38,2.08,76.28,-1.66,,
348,10/08/2022 08:20:38,2.58,77.33,-0.98,,
349,10/08/2022 08:23:38,3.21,73.48,-1.07,,
350,10/08/2022 08:26:38,3.85,71.76,-0.78,,
351,10/08/2022 08:29:38,4.29,67.13,-1.26,,
352,10/08/2022 08:32:38,4.17,69.95,-0.82,,
353,10/08/2022 08:35:38,4.13,70.74,-0.70,,
354,10/08/2022 08:38:38,4.35,70.07,-0.62,,
355,10/08/2022 08:41:38,4.48,67.69,-0.97,,
356,10/08/2022 08:44:38,4.71,67.35,-0.82,,
357,10/08/2022 08:47:38,4.86,66.52,-0.85,,
358,10/08/2022 08:50:38,5.06,64.58,-1.06,,
359,10/08/2022 08:53:38,5.15,67.23,-0.42,,
360,10/08/2022 08:56:38,5.46,63.79,-0.85,,
361,10/08/2022 08:59:38,5.59,63.38,-0.81,,
362,10/08/2022 09:02:38,5.65,64.77,-0.46,,
363,10/08/2022 09:05:38,6.10,63.30,-0.34,,
364,10/08/2022 09:08:38,6.29,60.75,-0.72,,
365,10/08/2022 09:11:38,6.42,60.54,-0.65,,
366,10/08/2022 09:14:38,6.78,60.27,-0.38,,
367,10/08/2022 09:17:38,6.86,58.39,-0.73,,
368,10/08/2022 09:20:38,6.91,59.85,-0.34,,
369,10/08/2022 09:23:38,6.99,56.56,-1.04,,
370,10/08/2022 09:26:38,7.39,57.45,-0.46,,
371,10/08/2022 09:29:38,7.74,56.19,-0.43,,
372,10/08/2022 09:32:38,7.72,58.07,0.00,,
373,10/08/2022 09:35:38,7.96,55.92,-0.30,,
374,10/08/2022 09:38:38,7.98,55.95,-0.27,,
375,10/08/2022 09:41:38,8.31,54.45,-0.33,,
376,10/08/2022 09:44:38,8.50,52.28,-0.71,,
377,10/08/2022 09:47:38,8.62,53.24,-0.35,,
378,10/08/2022 09:50:38,8.72,53.58,-0.17,,
379,10/08/2022 09:53:38,9.20,52.50,0.00,,
380,10/08/2022 09:56:38,9.65,50.29,-0.18,,
381,10/08/2022 09:59:38,9.93,49.85,-0.04,,
382,10/08/2022 10:02:38,9.81,49.58,-0.23,,
383,10/08/2022 10:05:38,9.94,48.70,-0.35,,
384,10/08/2022 10:08:38,10.09,49.80,0.09,,
385,10/08/2022 10:11:38,10.65,47.49,-0.05,,
386,10/08/2022 10:14:38,11.12,46.84,0.20,,
387,10/08/2022 10:17:38,11.41,45.33,0.01,,
388,10/08/2022 10:20:38,11.24,44.02,-0.55,,
389,10/08/2022 10:23:38,11.77,43.13,-0.34,,
390,10/08/2022 10:26:38,12.16,41.88,-0.40,,
391,10/08/2022 10:29:38,12.03,42.47,-0.32,,
392,10/08/2022 10:31:56,,,,Logged,
393,10/08/2022 10:32:38,12.13,43.61,0.13,,
394,10/08/2022 10:35:38,11.84,42.94,-0.35,,
395,10/08/2022 10:38:38,12.47,41.01,-0.40,,
396,10/08/2022 10:41:38,12.89,41.85,0.25,,
397,10/08/2022 10:44:38,12.72,39.91,-0.56,,
398,10/08/2022 10:47:38,12.34,42.88,0.09,,
399,10/08/2022 10:50:38,12.76,40.79,-0.22,,
400,10/08/2022 10:53:38,12.89,42.20,0.37,,
401,10/08/2022 10:56:38,13.30,42.10,0.70,,
402,10/08/2022 10:59:38,13.40,40.25,0.18,,
403,10/08/2022 11:02:38,13.61,41.20,0.68,,
404,10/08/2022 11:05:38,13.58,38.59,-0.25,,
405,10/08/2022 11:08:38,14.04,38.02,-0.04,,
406,10/08/2022 11:11:38,14.14,39.47,0.57,,
407,10/08/2022 11:14:38,14.51,39.02,0.74,,
408,10/08/2022 11:17:38,14.54,39.04,0.78,,
409,10/08/2022 11:20:38,14.32,39.50,0.74,,
410,10/08/2022 11:23:38,14.95,37.00,0.40,,
411,10/08/2022 11:26:38,14.78,36.43,0.03,,
412,10/08/2022 11:29:38,14.39,38.88,0.58,,
413,10/08/2022 11:32:38,14.72,37.89,0.52,,
414,10/08/2022 11:35:38,15.29,35.78,0.24,,
415,10/08/2022 11:38:38,15.12,37.01,0.55,,
416,10/08/2022 11:41:38,15.70,35.40,0.45,,
417,10/08/2022 11:44:38,15.39,35.53,0.23,,
418,10/08/2022 11:47:38,15.61,35.58,0.45,,
419,10/08/2022 11:50:38,16.15,35.32,0.82,,
420,10/08/2022 11:53:38,16.36,34.93,0.85,,
421,10/08/2022 11:56:38,16.11,34.85,0.59,,
422,10/08/2022 11:59:38,15.88,34.35,0.20,,
423,10/08/2022 12:02:38,16.01,35.33,0.70,,
424,10/08/2022 12:05:38,16.07,34.16,0.29,,
425,10/08/2022 12:08:38,16.79,34.49,1.06,,
426,10/08/2022 12:11:38,16.69,34.14,0.82,,
427,10/08/2022 12:14:38,16.86,32.54,0.31,,
428,10/08/2022 12:17:38,17.39,33.83,1.32,,
429,10/08/2022 12:20:38,17.92,31.45,0.76,,
430,10/08/2022 12:23:38,18.13,29.41,0.02,,
431,10/08/2022 12:26:38,17.30,30.53,-0.19,,
432,10/08/2022 12:29:38,17.43,30.73,0.01,,
433,10/08/2022 12:32:38,18.10,29.70,0.13,,
434,10/08/2022 12:35:38,18.32,26.25,-1.38,,
435,10/08/2022 12:38:38,18.28,27.74,-0.65,,
436,10/08/2022 12:41:38,18.88,27.08,-0.46,,
437,10/08/2022 12:44:38,18.83,27.77,-0.16,,
438,10/08/2022 12:47:38,18.58,26.79,-0.87,,
439,10/08/2022 12:50:38,18.02,25.47,-2.04,,
440,10/08/2022 12:53:38,17.73,25.90,-2.06,,
441,10/08/2022 12:56:38,18.06,25.95,-1.75,,
442,10/08/2022 12:59:38,18.38,26.04,-1.43,,
443,10/08/2022 13:02:38,19.44,24.37,-1.43,,
444,10/08/2022 13:05:38,18.48,24.44,-2.21,,
445,10/08/2022 13:08:38,18.56,25.26,-1.69,,
446,10/08/2022 13:11:38,18.88,25.11,-1.50,,
447,10/08/2022 13:14:38,18.73,24.79,-1.80,,
448,10/08/2022 13:17:38,18.77,24.28,-2.05,,
449,10/08/2022 13:20:38,18.84,23.40,-2.48,,
450,10/08/2022 13:23:38,19.29,26.24,-0.55,,
451,10/08/2022 13:26:38,19.69,22.48,-2.32,,
452,10/08/2022 13:29:38,19.42,22.21,-2.70,,
453,10/08/2022 13:32:38,18.74,23.24,-2.66,,
454,10/08/2022 13:35:38,19.23,21.76,-3.14,,
455,10/08/2022 13:38:38,19.33,22.57,-2.56,,
456,10/08/2022 13:41:38,19.63,21.56,-2.92,,
457,10/08/2022 13:44:38,19.77,21.08,-3.11,,
458,10/08/2022 13:47:38,19.66,21.62,-2.87,,
459,10/08/2022 13:50:38,19.46,21.53,-3.08,,
460,10/08/2022 13:53:38,19.41,21.89,-2.91,,
